Q#,DePuy,Stryker,Zimmer Biomet
1,60mm,65mm,70mm long
2,"Yes, there is a cementless option mentioned in the DePuy Orthogenesis Limb Preservation System Surgical Techniques reference document.",Yes,Yes
3,"To check rotation in the DePuy Orthogenesis Limb Preservation System Surgical Techniques, you can use the following method:

1. **Visual Inspection**: Observe the alignment of the limb in relation to the pelvis and the foot.
2. **Clinical Examination**: Assess the position of the patella and the foot to ensure they are aligned correctly.
3. **Radiographic Evaluation**: Use imaging techniques to confirm the rotational alignment of the components.

These steps help ensure that the rotation is within the desired parameters for optimal function.",Should be aligned with linea aspera.,"To check rotation in the Zimmer Biomet Segmental Distal Femoral Replacement Surgical Technique, you can follow these steps:

1. **Visual Inspection**: Observe the alignment of the limb in relation to the pelvis and the foot to ensure proper rotational alignment.

2. **Patellar Positioning**: Assess the position of the patella. It should be facing forward and aligned with the midline of the tibia.

3. **Clinical Examination**: Evaluate the range of motion and feel for any resistance or abnormal movement that may indicate improper rotation.

4. **Radiographic Evaluation**: Use imaging techniques, such as X-rays, to confirm the rotational alignment of the components.

These steps help ensure that the rotation is within the desired parameters for optimal function of the knee joint."
4,The shortest construct that can be used in the DePuy Orthogenesis Limb Preservation System is 70 mm. ,76mm without body and 105mm with body,60mm
5,0 degrees,Zero degrees,0 degrees
6,"12, 14, 16, 18, 20, 22, 24, 26, 28mm","11, 13, 16, 19, 22 mm",Nowhere to be found (9mm to 24mm per rep)
7,"The minimum stem diameter in the DePuy Orthogenesis Limb Preservation System is 10 mm for cemented straight stems, 11.5mm for porous straight stems, and 11mm for cemented bowed stems.",8mm,11mm
8,The smallest body segment is 25mm and is available in 5mm increments alone or in combination with other segmental components to adjust length.,"There is only one body segment length of 40mm that is extra-cortical. However, there are multiple extension pieces lengths in 10mm increments to achieve a construct as long as 325mm. This is all found in page 49.","3, 4, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23cm "
9,The maximum stem diameter in the DePuy Orthogenesis Limb Preservation System is 18.5 mm porous straight.,17mm is the largest stem diameter for either curved or straight.,19mm.
10,The tibial cone sizes available in the DePuy Orthogenesis Limb Preservation System are 21mm proximal and 14mm distal on the tibia. Small accommodates up to 14 mm stem. Medium accommodate up to 16 mm stem. Large accommodates up to 20 mm stem. X-Large accommodate up to 22 mm stem.,"Symmetric and asymmetric. Each come in sizes A, B, C, D, and E. ","Extra-small, small, medium, and large. Large cones should be used if the defect is greater than 46mm. Extra-small or small should generally be used."
11,"The augment sizes available on the tibia in the DePuy Orthogenesis Limb Preservation System are 5 mm, 10 mm, and 15 mm.",Augments come in 5mm and 10mm increments for each tibial size.,"The augment sizes available on the tibia in the Zimmer Biomet Segmental Distal Femoral Replacement Surgical Technique are 5 mm, 10 mm, and 15 mm."
12,The minimum total distal femur resection in the DePuy Orthogenesis Limb Preservation System is 70 mm.,The minimum resection length is 76mm,70mm
13,No.,There is not.,No
14,Attune Revision RP tibia is 61mm long and 14mm wide.,56mm long and 15mm wide,It ranges from 23mm to 40mm depending on the tibial size. The diameter is 14mm. 
15,"The minimum reamer that must be used on the femur is 10 mm, and for the tibia, it is also 10 mm in the DePuy Orthogenesis Limb Preservation System.",The minimum reamer is 10mm.,11mm. 
16,"Yes, there is a distal femur resection guide available for measurement in the DePuy Orthogenesis Limb Preservation System.","Yes, there is a distal femur resection guide available for measurement in the Stryker Triathlon TS Femur and Revision Baseplate.",Yes
17,The valgus angle of the distal femoral cut in the DePuy Orthogenesis Limb Preservation System is 5 degrees.,The valgus angle of the distal femoral cut in the Stryker Triathlon TS Femur and Revision Baseplate is 6 degrees.,5 degrees
