Question Num,Question,Correct Answer,Answer,Score,Rationale
1,"Based on the document titled GMRS Distal Femur and Revision Baseplate Surgical Protocol from Stryker, answer this question: How long is the distal femoral component?",65mm,"The length of the distal femoral component options are as follows: Small (52 mm M/L, 45 mm A/P) and Standard (60 mm M/L, 54 mm A/P).",1,The respondent’s answer does not match the correct 65mm measurement and instead provides different measurements for small and standard options.
2,"Based on the document titled GMRS Distal Femur and Revision Baseplate Surgical Protocol from Stryker, answer this question: Is there a press fit or cementless option?",Yes,"The document primarily involves cemented options, detailing various cementing techniques and components. There is no mention of a press fit or cementless option in the provided images or text, indicating that cementless options are not available in this protocol.",1,"The respondent's answer incorrectly states that only cemented options are available, which contradicts the correct answer of ""Yes."""
3,"Based on the document titled GMRS Distal Femur and Revision Baseplate Surgical Protocol from Stryker, answer this question: How do you check rotation?",Should be aligned with linea aspera.,"To check rotation during the procedure, use alignment rods and guides to ensure proper rotational alignment. The process involves using alignment rods with templates and guides to maintain or adjust rotation. This information is supported by visual guidance in the images and confirmed by the text.",1,"The respondent's answer does not mention alignment with the linea aspera and instead includes unrelated details about alignment rods and guides, which does not match the model answer."
4,"Based on the document titled GMRS Distal Femur and Revision Baseplate Surgical Protocol from Stryker, answer this question: What is the shortest construct I can use?",76mm without body and 105mm with body,"The document does not explicitly detail the shortest construct in terms of specific measurements. However, it suggests that the shortest construct can be adjusted based on the components selected, such as using extension pieces starting from 30 mm. The overall shortest construct would depend on the combination of components used, including the baseplate, stem, and any additional extensions. 

In conclusion, the shortest construct would likely involve using the smallest available components, such as the shortest extension piece (30 mm) along with the smallest compatible stem and baseplate.",1,The respondent's answer did not provide the required measurements (76 mm without body and 105 mm with body) and is therefore incorrect.
5,"Based on the document titled GMRS Distal Femur and Revision Baseplate Surgical Protocol from Stryker, answer this question: What degree do I cut the tibia in?",Zero degrees,The tibia should be cut with a posterior slope of 0 degrees.,3,"The respondent's answer matches the model answer by stating that the tibia is cut at 0 degrees, even with added detail that it is a posterior slope, which doesn't change the correctness."
6,"Based on the document titled GMRS Distal Femur and Revision Baseplate Surgical Protocol from Stryker, answer this question: What are the poly sizes?","11, 13, 16, 19, 22 mm","The available poly sizes are 11 mm, 13 mm, 16 mm, 19 mm, and 22 mm for sizes 1 through 7.",3,"The respondent correctly listed the poly sizes as 11, 13, 16, 19, and 22 mm, which matches the correct answer, even though additional extraneous information was provided."
7,"Based on the document titled GMRS Distal Femur and Revision Baseplate Surgical Protocol from Stryker, answer this question: What is the minimum stem diameter?",8mm,The minimum stem diameter is 8 mm.,3,The respondent provides the correct answer that exactly matches the model answer.
8,"Based on the document titled GMRS Distal Femur and Revision Baseplate Surgical Protocol from Stryker, answer this question: What are the body segment lengths?","There is only one body segment length of 40mm that is extra-cortical. However, there are multiple extension pieces lengths in 10mm increments to achieve a construct as long as 325mm. This is all found in page 49.","The document does not provide specific information about anatomical body segment lengths. However, it mentions extension pieces available in various lengths (e.g., 30 mm, 40 mm, 50 mm, etc.) for customizing replacement length. These are related to surgical components rather than anatomical body segment lengths.",1,The respondent incorrectly states that the document does not provide specific anatomical segment lengths and misses the key detail of a 40mm extra-cortical body segment length as well as the extension pieces available in 10mm increments.
9,"Based on the document titled GMRS Distal Femur and Revision Baseplate Surgical Protocol from Stryker, answer this question: What is the maximum stem diameter?",17mm is the largest stem diameter for either curved or straight.,The maximum stem diameter is 25 mm.,1,The respondent’s answer is incorrect as it does not match the model answer stating that the maximum stem diameter is 17 mm.
10,"Based on the document titled GMRS Distal Femur and Revision Baseplate Surgical Protocol from Stryker, answer this question: What are cone sizes?","Symmetric and asymmetric. Each come in sizes A, B, C, D, and E.","The available cone sizes are:

- **Symmetric Cone Augments**: Sizes B, C, D, E
- **Asymmetric Cone Augments**: Sizes B LM/RL, B RM/LL, C LM/RL, C RM/LL, D LM/RL, D RM/LL, E LM/RL, E RM/LL

This information is derived from the parsed text, as the images do not provide specific details about cone sizes.",1,The respondent's answer is incorrect as it omits size A for both cone types and provides extraneous details not in the model answer.
