Question Num,Question,Correct Answer,Answer
1,"Based on the document titled GMRS Distal Femur and Revision Baseplate Surgical Protocol from Stryker, answer this question: How long is the distal femoral component?",65mm,The small distal femoral component is 52mm long and the standard distal femoral component is 60mm long
2,"Based on the document titled GMRS Distal Femur and Revision Baseplate Surgical Protocol from Stryker, answer this question: Is there a press fit or cementless option?",Yes,The document specifies that the GMRS cemented stems are designed to be cemented into the medullary canal and does not mention a press fit or cementless option
3,"Based on the document titled GMRS Distal Femur and Revision Baseplate Surgical Protocol from Stryker, answer this question: How do you check rotation?",Should be aligned with linea aspera.,"To check rotation, a mark is made on the anterior cortex of the distal femur in line with the trochlear groove using a straight edge. During implantation, the alignment marking on the implant stem is oriented to this reference mark to guide rotational orientation. Rotation can also be verified during trial evaluation"
4,"Based on the document titled GMRS Distal Femur and Revision Baseplate Surgical Protocol from Stryker, answer this question: What is the shortest construct I can use?",76mm without body and 105mm with body,"The shortest construct uses the small distal femoral component (52mm), the small cemented stem (as short as 50mm), and no extension piece"
5,"Based on the document titled GMRS Distal Femur and Revision Baseplate Surgical Protocol from Stryker, answer this question: What degree do I cut the tibia in?",Zero degrees,"The tibia is cut to produce a resected surface with a neutral slope, which corresponds to 0 degrees"
6,"Based on the document titled GMRS Distal Femur and Revision Baseplate Surgical Protocol from Stryker, answer this question: What are the poly sizes?","11, 13, 16, 19, 22 mm","The poly (Hinge Insert) sizes available are 11mm, 13mm, 16mm, 19mm, and 22mm for each baseplate size from 1 to 7"
7,"Based on the document titled GMRS Distal Femur and Revision Baseplate Surgical Protocol from Stryker, answer this question: What is the minimum stem diameter?",8mm,The minimum stem diameter is 8mm
8,"Based on the document titled GMRS Distal Femur and Revision Baseplate Surgical Protocol from Stryker, answer this question: What are the body segment lengths?","There is only one body segment length of 40mm that is extra-cortical. However, there are multiple extension pieces lengths in 10mm increments to achieve a construct as long as 325mm. This is all found in page 49.","The extra-cortical porous-coated body segment has a 40mm replacement length, and stems without this section have an 11mm replacement length"
9,"Based on the document titled GMRS Distal Femur and Revision Baseplate Surgical Protocol from Stryker, answer this question: What is the maximum stem diameter?",17mm is the largest stem diameter for either curved or straight.,The maximum stem diameter is 17mm
10,"Based on the document titled GMRS Distal Femur and Revision Baseplate Surgical Protocol from Stryker, answer this question: What are cone sizes?","Symmetric and asymmetric. Each come in sizes A, B, C, D, and E.","The cone sizes are B, C, D, and E; size A is not compatible with the Revision Baseplate"
11,"Based on the document titled GMRS Distal Femur and Revision Baseplate Surgical Protocol from Stryker, answer this question: What are the augment sizes on the tibia?",Augments come in 5mm and 10mm increments for each tibial size.,The tibial augment sizes are 5mm and 10mm
12,"Based on the document titled GMRS Distal Femur and Revision Baseplate Surgical Protocol from Stryker, answer this question: What’s the minimum total distal femur resection?",The minimum resection length is 76mm,"The minimum total distal femur resection is approximately 4–6mm longer than the prosthesis length to account for tibial resection, with the shortest distal femoral component being 52mm; thus, the minimum resection is approximately 56–58mm"
