Question Num,Question,Correct Answer,Answer
1,"Based on the document titled Orthogenesis Limb Preservation System Surgical Techniques from DePuy, answer this question: How long is the distal femoral component?",60mm,"Based on the document, the Orthogenesis LPS distal femoral component is 50 mm for the XX-small size and 60 mm for the X-small size"
2,"Based on the document titled Orthogenesis Limb Preservation System Surgical Techniques from DePuy, answer this question: Is there a press fit or cementless option?","Yes, there is a cementless option mentioned in the DePuy Orthogenesis Limb Preservation System Surgical Techniques reference document.","Yes, the document states that porous-coated femoral stems are available for press-fit (cementless) application"
3,"Based on the document titled Orthogenesis Limb Preservation System Surgical Techniques from DePuy, answer this question: How do you check rotation?","To check rotation in the DePuy Orthogenesis Limb Preservation System Surgical Techniques, you can use the following method: 1. **Visual Inspection**: Observe the alignment of the limb in relation to the pelvis and the foot. 2. **Clinical Examination**: Assess the position of the patella and the foot to ensure they are aligned correctly. 3. **Radiographic Evaluation**: Use imaging techniques to confirm the rotational alignment of the components. These steps help ensure that the rotation is within the desired parameters for optimal function.","Based on the document, rotation is checked by marking a vertical line on the anterior femoral cortex in line with the femoral trochlear groove before resection, and during trial reduction, using the anti-rotation slot (tab) on the trial components to mark the femur for proper implant alignment"
4,"Based on the document titled Orthogenesis Limb Preservation System Surgical Techniques from DePuy, answer this question: What is the shortest construct I can use?",The shortest construct that can be used in the DePuy Orthogenesis Limb Preservation System is 70 mm.,"The shortest construct for a distal femoral replacement is 70 mm using the XX-small distal femoral component, which includes a 50 mm component length plus a 20 mm collar height"
5,"Based on the document titled Orthogenesis Limb Preservation System Surgical Techniques from DePuy, answer this question: What degree do I cut the tibia in?",0 degrees,The document does not specify a tibial cut angle in degrees 
6,"Based on the document titled Orthogenesis Limb Preservation System Surgical Techniques from DePuy, answer this question: What are the poly sizes?","12, 14, 16, 18, 20, 22, 24, 26, 28mm","The document states that for the Orthogenesis LPS system, only the extra-small and extra-extra small hinged tibial insert bearing sizes are used to match the distal femoral replacement components"
7,"Based on the document titled Orthogenesis Limb Preservation System Surgical Techniques from DePuy, answer this question: What is the minimum stem diameter?","The minimum stem diameter in the DePuy Orthogenesis Limb Preservation System is 10 mm for cemented straight stems, 11.5mm for porous straight stems, and 11mm for cemented bowed stems.",The minimum stem diameter is 10 mm for cemented straight stems
8,"Based on the document titled Orthogenesis Limb Preservation System Surgical Techniques from DePuy, answer this question: What are the body segment lengths?",The smallest body segment is 25mm and is available in 5mm increments alone or in combination with other segmental components to adjust length.,The body segment lengths for the Orthogenesis LPS distal femoral replacement are 50 mm for the XX-small size and 60 mm for the X-small size
9,"Based on the document titled Orthogenesis Limb Preservation System Surgical Techniques from DePuy, answer this question: What is the maximum stem diameter?",The maximum stem diameter in the DePuy Orthogenesis Limb Preservation System is 18.5 mm porous straight.,The maximum stem diameter is 18.5 mm for porous-coated stems
10,"Based on the document titled Orthogenesis Limb Preservation System Surgical Techniques from DePuy, answer this question: What are cone sizes?",The tibial cone sizes available in the DePuy Orthogenesis Limb Preservation System are 21mm proximal and 14mm distal on the tibia. Small accommodates up to 14 mm stem. Medium accommodate up to 16 mm stem. Large accommodates up to 20 mm stem. X-Large accommodate up to 22 mm stem.,The document does not mention or describe cone sizes
11,"Based on the document titled Orthogenesis Limb Preservation System Surgical Techniques from DePuy, answer this question: What are the augment sizes on the tibia?","The augment sizes available on the tibia in the DePuy Orthogenesis Limb Preservation System are 5 mm, 10 mm, and 15 mm.",The document does not mention tibial augment sizes
12,"Based on the document titled Orthogenesis Limb Preservation System Surgical Techniques from DePuy, answer this question: What’s the minimum total distal femur resection?",The minimum total distal femur resection in the DePuy Orthogenesis Limb Preservation System is 70 mm.,The minimum total distal femur resection is 70 mm when using the XX-small distal femoral replacement component
13,"Based on the document titled Orthogenesis Limb Preservation System Surgical Techniques from DePuy, answer this question: Is there a non-nickel containing option?",No.,The document does not mention a non-nickel containing option
14,"Based on the document titled Orthogenesis Limb Preservation System Surgical Techniques from DePuy, answer this question: What is the tibial boss length and diameter?",Attune Revision RP tibia is 61mm long and 14mm wide.,The document does not specify the tibial boss length and diameter 
