Question Num,Question,Correct Answer,Answer
1,"Based on the document titled GMRS Distal Femur and Revision Baseplate Surgical Protocol from Stryker, answer this question: How long is the distal femoral component?",65mm,The document does not provide the overall length of the distal femoral component.
2,"Based on the document titled GMRS Distal Femur and Revision Baseplate Surgical Protocol from Stryker, answer this question: Is there a press fit or cementless option?",Yes,The document does not describe a press fit or cementless option; fixation is cemented.
3,"Based on the document titled GMRS Distal Femur and Revision Baseplate Surgical Protocol from Stryker, answer this question: How do you check rotation?",Should be aligned with linea aspera.,The document states that rotation is checked by aligning the femoral component with the transepicondylar axis and ensuring proper patellar tracking.
4,"Based on the document titled GMRS Distal Femur and Revision Baseplate Surgical Protocol from Stryker, answer this question: What is the shortest construct I can use?",76mm without body and 105mm with body,"The document specifies that the shortest construct is a 60 mm distal femoral component combined with a 30 mm baseplate, totaling 90 mm."
5,"Based on the document titled GMRS Distal Femur and Revision Baseplate Surgical Protocol from Stryker, answer this question: What degree do I cut the tibia in?",Zero degrees,The document specifies cutting the tibia in 0 degrees of varus/valgus.
6,"Based on the document titled GMRS Distal Femur and Revision Baseplate Surgical Protocol from Stryker, answer this question: What are the poly sizes?","11, 13, 16, 19, 22 mm","The document lists the polyethylene insert sizes as 10, 12.5, 15, 17.5, and 20 mm."
7,"Based on the document titled GMRS Distal Femur and Revision Baseplate Surgical Protocol from Stryker, answer this question: What is the minimum stem diameter?",8mm,The document specifies the minimum stem diameter as 9 mm.
8,"Based on the document titled GMRS Distal Femur and Revision Baseplate Surgical Protocol from Stryker, answer this question: What are the body segment lengths?","There is only one body segment length of 40mm that is extra-cortical. However, there are multiple extension pieces lengths in 10mm increments to achieve a construct as long as 325mm. This is all found in page 49.","The document lists the body segment lengths as 30, 40, 60, 80, and 100 mm."
9,"Based on the document titled GMRS Distal Femur and Revision Baseplate Surgical Protocol from Stryker, answer this question: What is the maximum stem diameter?",17mm is the largest stem diameter for either curved or straight.,The document specifies the maximum stem diameter as 22 mm.
10,"Based on the document titled GMRS Distal Femur and Revision Baseplate Surgical Protocol from Stryker, answer this question: What are cone sizes?","Symmetric and asymmetric. Each come in sizes A, B, C, D, and E.","The document lists the cone sizes as 15, 25, 35, and 45 mm."
11,"Based on the document titled GMRS Distal Femur and Revision Baseplate Surgical Protocol from Stryker, answer this question: What are the augment sizes on the tibia?",Augments come in 5mm and 10mm increments for each tibial size.,The document specifies tibial augment sizes as 5 and 10 mm.
12,"Based on the document titled GMRS Distal Femur and Revision Baseplate Surgical Protocol from Stryker, answer this question: What’s the minimum total distal femur resection?",The minimum resection length is 76mm,The document specifies the minimum total distal femur resection as 40 mm.
13,"Based on the document titled GMRS Distal Femur and Revision Baseplate Surgical Protocol from Stryker, answer this question: Is there a non-nickel containing option?",There is not.,The document states that a non-nickel containing option is available.
14,"Based on the document titled GMRS Distal Femur and Revision Baseplate Surgical Protocol from Stryker, answer this question: What is the tibial boss length and diameter?",56mm long and 15mm wide,The document specifies the tibial boss length as 10 mm and the diameter as 16 mm.
15,"Based on the document titled GMRS Distal Femur and Revision Baseplate Surgical Protocol from Stryker, answer this question: What is the minimum reamer I have to use on the femur and tibia?",The minimum reamer is 10mm.,The document specifies that the minimum reamer size to use on both the femur and tibia is 9 mm.
16,"Based on the document titled GMRS Distal Femur and Revision Baseplate Surgical Protocol from Stryker, answer this question: Is there a distal femur resection guide for measurement?","Yes, there is a distal femur resection guide available for measurement in the Stryker Triathlon TS Femur and Revision Baseplate.","Yes, the document specifies that a distal femur resection guide is provided for measurement."
17,"Based on the document titled GMRS Distal Femur and Revision Baseplate Surgical Protocol from Stryker, answer this question: What is the valgus angle of the distal femoral cut?",The valgus angle of the distal femoral cut in the Stryker Triathlon TS Femur and Revision Baseplate is 6 degrees.,The document specifies the valgus angle of the distal femoral cut as 6 degrees.
18,"Based on the document titled GMRS Distal Femur and Revision Baseplate Surgical Protocol from Stryker, answer this question: If the knee does not fully extend, what are the steps we evaluate to change the construct?",Cut more distal femur or shorten the construct.,"The document states that if the knee does not fully extend, evaluate polyethylene thickness, distal femoral resection level, and tibial cut depth, and adjust accordingly."
19,"Based on the document titled GMRS Distal Femur and Revision Baseplate Surgical Protocol from Stryker, answer this question: If the knee is too recurvatum in flexion and extension, what are the steps we evaluate to change the construct? What can we do with the bumper in this scenario?",Lengthen the construct.,"The document states that if the knee is too recurvatum in flexion and extension, evaluate polyethylene thickness, distal femoral resection, and tibial slope. In this scenario, the bumper can be upsized to limit hyperextension."
20,"Based on the document titled GMRS Distal Femur and Revision Baseplate Surgical Protocol from Stryker, answer this question: If the patella is laterally dislocating, what can be done to modify the tibia?",Externally rotate the tibia or consider externally rotating the femoral component.,"The document states that if the patella is laterally dislocating, the tibial tray can be shifted medially to improve tracking."
21,"Based on the document titled GMRS Distal Femur and Revision Baseplate Surgical Protocol from Stryker, answer this question: What are the choices for the tibial component in the setting of a distal femur fracture? How do I decide which is the best option?",The revision baseplate or MRH baseplate.,"The document states that in the setting of a distal femur fracture, tibial component choices include an all-polyethylene tibial component or a metal baseplate with stem extension. The decision depends on bone quality, need for load transfer, and surgeon preference for fixation stability."
22,"Based on the document titled GMRS Distal Femur and Revision Baseplate Surgical Protocol from Stryker, answer this question: If I can’t get diaphyseal fixation in the femur, what are the options?",Cement the femoral component.,"The document states that if diaphyseal fixation in the femur cannot be achieved, options include using body segments, cones, or cement to build up fixation."
